pair,symbol1,symbol2,status,cointegrated,pvalue,hedge_ratio,spread_volatility,halflife_days,liquidity_score,data_points,coint_score,halflife_score,volatility_score,liquidity_score_norm,total_score
SLV-SIVR,SLV,SIVR,SUCCESS,True,1.0357325129363403e-05,0.954508075199477,4.629259723252289,4.4830074559540565,56.17630763709162,735,99.97928534974128,49.602307246640514,55.58435346564603,52.920300250015444,71.44720668218817
USO-XLE,USO,XLE,SUCCESS,True,0.005928029990756724,1.730817960821535,67.11911524722625,15.925854212190691,61.58200316799882,735,88.14394001848656,94.01426930271018,0.6845604983969754,58.0126789161934,67.59995727018057
USO-OIH,USO,OIH,SUCCESS,True,0.029122909743929077,0.25262712655455377,11.216151455992899,54.153518265465024,51.396189968489416,735,41.75418051214185,7.351729818256665,100.0,48.41724063479419,45.80219075464004
EWA-EWC,EWA,EWC,SUCCESS,False,0.6303350857881014,0.6000089853620171,7.6462991600916395,inf,94.42580332203711,735,0.0,0.0,72.74006698836484,88.95283569423678,27.890938751808484
GLD-GDX,GLD,GDX,SUCCESS,False,0.5782001973139064,5.784089622981826,3.5611413063362427,262.6512812435222,64.0596827975405,735,0.0,0.0,50.53526273391324,60.346750973149284,19.15906519275504
EWG-EWU,EWG,EWU,SUCCESS,False,0.6222659225175919,0.9488391912934961,-10.957456397177515,94.30121282413089,102.58826319883893,735,0.0,0.0,13.849300111569422,96.64219524149625,17.266189308538323
SPY-EFA,SPY,EFA,SUCCESS,False,0.5534116244668079,6.831263787690365,-14.186753289781434,126.6624849604207,106.15266234638423,735,0.0,0.0,10.384557206259878,100.00000000000001,17.076911441251976
QQQ-XLK,QQQ,XLK,SUCCESS,False,0.35812180569169993,4.330714595240657,1482.1212748610394,40.48074240278964,73.38794314948223,735,0.0,18.29182110523016,1.1114376984972294e-55,69.13434060656131,14.943106367291737
XLE-XOP,XLE,XOP,SUCCESS,False,0.8297496774646923,0.31938884772757076,25.459360770968342,112.09215294177412,63.45724307788242,735,0.0,0.0,28.086424923066428,59.77922896631324,14.584169329560272
EEM-VWO,EEM,VWO,SUCCESS,False,0.9299356173280453,0.9796481472485853,166.01878918028726,167.7383571832918,100.08537039028826,735,0.0,0.0,0.00010138448804273794,94.28437137422146,14.142675983030827
XLF-KRE,XLF,KRE,SUCCESS,False,0.10388780781679346,0.8129091107176297,104.99672043643467,41.627609629258906,64.89298464652015,735,0.0,16.945396613298538,0.023376191026770375,61.13175422277153,13.410787524945716
GLD-SLV,GLD,SLV,SUCCESS,False,0.7513695424229372,8.668195168322347,34.92506103597865,100.41991950905063,71.48706387822888,735,0.0,0.0,12.077588981085716,67.34363726550836,12.517063386043397
SMH-SOXX,SMH,SOXX,SUCCESS,False,0.4838000785887255,1.0759956705684464,-5.854132561085624,2205.6834429458686,46.32899902975984,735,0.0,0.0,21.828849405845506,43.64374666231619,10.912331880516529
